 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    50         0 @EarthSciAST/…ree_walk/vectorize.jl  687 _eval_vec_op(n::EarthSciAST._VecN…
    50         0 @Base/dict.jl           133 isslotempty
    50        50 @juliasrc/builtins.c    244 ijl_egal__bitstag
    50        50 @juliasrc/julia.h      1872 jl_egal__unboxed_
    50         0 @EarthSciAST/…/tree_walk/resolve.jl  546 _resolve_indices_op(expr::OpExpr,…
    50        50 @juliasrc/typemap.c    1176 jl_typemap_level_assoc_exact
    51        51 @juliasrc/subtype.c    2479 ijl_isa
    51         0 @EarthSciAST/…/tree_walk/resolve.jl  507 _resolve_indices_op(expr::OpExpr,…
    51         0 @EarthSciAST/…/tree_walk/helpers.jl  306 _eval_cellwise(expr::OpExpr, cell…
    51         2 @EarthSciAST/…alk/geometry_setup.jl  672 _materialize_geom_array(arrayop::…
    52         0 @juliasrc/gc-stock.c    316 gc_setmark
    52        52 @juliasrc/jltypes.c    1008 typekeyvalue_eq
    52         9 @Base/iterators.jl      415 iterate(z::Base.Iterators.Zip{Tup…
    52         0 @juliasrc/typemap.c    1238 jl_typemap_level_assoc_exact
    53        53 @juliasrc/gc-stock.c    922 gc_sweep_page
    53        53 @juliasrc/gc-stock.c      ? gc_sweep_page
    53        53 @juliasrc/julia_internal.h 1815 jl_typemap_assoc_exact
    53        52 @juliasrc/subtype.c       ? obvious_subtype
    53        53 @juliasrc/julia.h      1916 jl_is_concrete_type
    54        54 @juliasrc/gc-stock.c    923 gc_sweep_page
    54        54 @juliasrc/builtins.c    491 ijl_object_id_
    54        54 @juliasrc/julia.h      1309 jl_svecref
    54         0 @EarthSciAST/…/tree_walk/resolve.jl  203 _resolve_index_of_arrayop(arrayop…
    54        54 @juliasrc/julia.h      1871 jl_egal__unboxed_
    54         0 @EarthSciAST/…alk/geometry_setup.jl  510 _geo_eval(expr::OpExpr, ctx::Eart…
    55        55 @juliasrc/gc-stock.c   1683 gc_try_claim_and_push
    55         0 @juliasrc/gc-stock.h    342 page_metadata
    55         7 @juliasrc/gf.c         1499 lookup_leafcache
