# Python simulate() self-time by function
# NX=36 NY=40  t_end=7200.0  wall=8.10s  solver=RK45 (scipy)
# three real loaders (3DEP + LANDFIRE + ERA5), regridded in-model
# pyinstrument statistical sampler @ 1 ms; 6945 samples; CPU time 7.07s
#  self%   self(s)  function
  40.36     3.269  _reduce_over_gated (numpy_interpreter.py:2194)
  14.07     1.140  _join_admits (numpy_interpreter.py:2034)
   4.78     0.387  _SSLSocket.read (<built-in>:0)
   3.74     0.303  _SSLSocket.do_handshake (<built-in>:0)
   3.68     0.298  socket.connect (<built-in>:0)
   3.09     0.251  eval_expr (numpy_interpreter.py:486)
   2.68     0.217  isinstance (<built-in>:0)
   2.48     0.201  _replace (dataclasses.py:1773)
   2.40     0.194  _gather_index (numpy_interpreter.py:1035)
   2.05     0.166  _collect_index_uses (flatten.py:1573)
   1.58     0.128  getattr (<built-in>:0)
   1.07     0.087  _eval_index (numpy_interpreter.py:1076)
   0.97     0.078  <genexpr> (numpy_interpreter.py:1061)
   0.94     0.076  _resolve_symbol (numpy_interpreter.py:201)
   0.77     0.062  iter_children (expr_walk.py:34)
   0.68     0.055  _validate_interp_axis (registered_functions.py:277)
   0.68     0.055  <genexpr> (numpy_interpreter.py:1053)
   0.67     0.054  _expr_to_string (flatten.py:283)
   0.66     0.053  _expand_range (flatten.py:451)
   0.65     0.053  _is_number (flatten.py:279)
   0.62     0.051  list.append (<built-in>:0)
   0.56     0.045  __init__ (<string>:2)
   0.55     0.045  _run_cadence_segmented_solve (simulation_loaders.py:330)
   0.46     0.037  _eval_arrayop (numpy_interpreter.py:1506)
   0.46     0.037  map_children (expr_walk.py:57)
   0.40     0.032  _call_impl (rk.py:723)
   0.38     0.031  f_sub (numpy_interpreter.py:792)
   0.35     0.028  substitute (substitute.py:19)
   0.33     0.027  __call__ (common.py:214)
   0.31     0.025  hstack (shape_base.py:293)
   0.31     0.025  _interp_linear (registered_functions.py:315)
   0.28     0.023  len (<built-in>:0)
   0.28     0.023  replace (dataclasses.py:1754)
   0.27     0.022  ufunc.reduce (<built-in>:0)
   0.25     0.020  round (<built-in>:0)
   0.24     0.020  SSLContext.load_verify_locations (<built-in>:0)
   0.22     0.018  <lambda> (substitute.py:49)
   0.22     0.018  _eval_index_expr (flatten.py:1520)
   0.17     0.014  _reduce_step (numpy_interpreter.py:1778)
   0.15     0.012  asarray (<built-in>:0)
