# Rust simulate() self-time by leaf function
# NX=NY=64  t_end=57600  wall=3.1s  solver=Erk (diffsol)
# 188 samples @ 997 Hz
#  self%   samples  function
  28.19        53  earthsci_ast::simulate_array::eval_arith::{{closure}}
  14.89        28  earthsci_ast::simulate_array::eval_index
  12.23        23  alloc::alloc::alloc
   5.85        11  ndarray::dimension::dim::Dim
   4.79         9  core::ptr::drop_in_place<earthsci_ast::types::ExpressionNode>
   4.26         8  earthsci_ast::simulate_array::eval_index::{{closure}}
   4.26         8  <T as alloc::slice::<impl [T]>::to_vec_in::ConvertVec>::to_vec
   3.72         7  earthsci_ast::simulate_array::combine::{{closure}}
   2.66         5  <smallvec::SmallVec<A> as core::iter::traits::collect::FromIterator<<A as smallvec::Array>::Item>>::from_iter
   2.13         4  earthsci_ast::simulate_array::vec_combine::{{closure}}
   2.13         4  alloc::raw_vec::RawVecInner<A>::try_allocate_in
   1.60         3  core::hash::Hasher::write_u8
   1.60         3  core::ptr::copy_nonoverlapping
   1.06         2  alloc::alloc::dealloc_nonnull
   1.06         2  <A as core::slice::cmp::SlicePartialEq<B>>::equal_same_length
   1.06         2  <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter
   1.06         2  alloc::vec::Vec<T,A>::push_mut
   1.06         2  earthsci_ast::simulate_array::reduce_contraction
   1.06         2  <A as core::slice::cmp::SliceOrd>::compare
   0.53         1  earthsci_ast::flatten::substitute_var
   0.53         1  diffsol::ode_solver::runge_kutta::Rk<Eqn,M>::error_norm
   0.53         1  earthsci_ast::simulate_array::evaluate_rhs_with_scratch
   0.53         1  earthsci_ast::simulate_array::run_solver
   0.53         1  <earthsci_ast::types::ExpressionNode as core::clone::Clone>::clone
   0.53         1  core::ptr::drop_in_place<[earthsci_ast::simulate_array::RhsRule]>
   0.53         1  earthsci_ast::simulate_array::col_major_to_arrayd
   0.53         1  <core::hash::sip::Hasher<S> as core::hash::Hasher>::write_str
   0.53         1  earthsci_ast::simulate_array::eval_arrayop
   0.53         1  hashbrown::map::make_hash
